,title,price,url,search_name,vintage,vivino_score,num_reviews,vivino_name,vivino_link,wine_type
26,Big Fire Pinot Noir,25.95,https://www.bestbuywinewarehouse.com/collections/all/products/big-fire-pinot-noir,Big Fire Pinot Noir,,3.9,1632.0,R. Stuart & Co Big Fire Pinot Noir,https://www.vivino.com/US-NY/en/wines/1470098,red-wine
27,Black Box Malbec,26.0,https://www.bestbuywinewarehouse.com/collections/all/products/copy-of-black-box-pinot-noir,Black Box Malbec,,3.3,797.0,Black Box Malbec,https://www.vivino.com/US-NY/en/wines/2840125,red-wine
28,Black Box Merlot,26.0,https://www.bestbuywinewarehouse.com/collections/all/products/black-box-merlot,Black Box Merlot,,3.3,884.0,Black Box Merlot,https://www.vivino.com/US-NY/en/wines/1729690,red-wine
29,Black Box Pinot Noir,26.95,https://www.bestbuywinewarehouse.com/collections/all/products/copy-of-saba-tej,Black Box Pinot Noir,,3.3,992.0,Black Box Pinot Noir,https://www.vivino.com/US-NY/en/wines/10081112,red-wine
30,Blue Moon Merlot,12.98,https://www.bestbuywinewarehouse.com/collections/all/products/blue-moon-merlot,Blue Moon Merlot,,3.3,82.0,Bob's Your Uncle Once In a Blue Moon Merlot,https://www.vivino.com/US-NY/en/wines/163751850,red-wine
31,Bogle Petite Sirah,14.5,https://www.bestbuywinewarehouse.com/collections/all/products/bogle-petite-sirah,Bogle Petite Sirah,,3.7,19836.0,Bogle Petite Sirah,https://www.vivino.com/US-NY/en/wines/1690924,red-wine
32,Bohae Black Raspberry,17.95,https://www.bestbuywinewarehouse.com/collections/all/products/bohae-black-raspberry,Bohae Black Raspberry,,3.4,30.0,Red Beak Jeju Black Raspberry,https://www.vivino.com/US-NY/en/wines/9783300,red-wine
33,Bolla Cabernet Sauvignon,10.95,https://www.bestbuywinewarehouse.com/collections/all/products/bolla-cabernet-sauvignon,Bolla Cabernet Sauvignon,,3.4,1197.0,Bolla Cabernet Sauvignon delle Venezie,https://www.vivino.com/US-NY/en/wines/2406373,red-wine
34,Bolla Chianti,9.5,https://www.bestbuywinewarehouse.com/collections/all/products/bolla-chianti,Bolla Chianti,,3.4,3572.0,Bolla Chianti,https://www.vivino.com/US-NY/en/wines/3021415,red-wine
35,Bolla Merlot,10.95,https://www.bestbuywinewarehouse.com/collections/all/products/bolla-merlot,Bolla Merlot,,3.4,1194.0,Bolla Merlot delle Venezie,https://www.vivino.com/US-NY/en/wines/1633801,red-wine
36,Bolla Valpolicella,10.95,https://www.bestbuywinewarehouse.com/collections/all/products/bolla-valpolicella,Bolla Valpolicella,,3.5,19769.0,Bolla Valpolicella Classico,https://www.vivino.com/US-NY/en/wines/1476189,red-wine
37,Bordone Barbera d'alba,19.5,https://www.bestbuywinewarehouse.com/collections/all/products/bordone-barbera-dalba,Bordone Barbera d'alba,,,,G. Bordone Barbera D Alba,https://www.vivino.com/US-NY/en/wines/18868988,red-wine
38,Bridewood Cabernet Sauvignon,15.95,https://www.bestbuywinewarehouse.com/collections/all/products/bridewood-cabernet-sauvignon,Bridewood Cabernet Sauvignon,,3.7,9396.0,Bridlewood Cabernet Sauvignon,https://www.vivino.com/US-NY/en/wines/2221175,red-wine
39,Bridge Lane Merlot,8.5,https://www.bestbuywinewarehouse.com/collections/all/products/61,Bridge Lane Merlot,,3.3,34.0,Bridge Lane Merlot,https://www.vivino.com/US-NY/en/wines/1915643,red-wine
40,Bridge Lane Red Blend,8.5,https://www.bestbuywinewarehouse.com/collections/all/products/65,Bridge Lane Red Blend,,3.6,255.0,Bridge Lane Red Blend,https://www.vivino.com/US-NY/en/wines/8334216,red-wine
41,Bridgeview Pinot Noir,23.95,https://www.bestbuywinewarehouse.com/collections/all/products/bridgeview-pinot-noir,Bridgeview Pinot Noir,,3.5,402.0,Bridgeview Pinot Noir,https://www.vivino.com/US-NY/en/wines/3673977,red-wine
42,Broadley Pinot Nior,36.0,https://www.bestbuywinewarehouse.com/collections/all/products/broadley-pinot-nior,Broadley Pinot Nior,,3.8,1094.0,Broadley Pinot Noir,https://www.vivino.com/US-NY/en/wines/4725554,red-wine
43,Burgess Cellars Cabernet Sauvignon,64.95,https://www.bestbuywinewarehouse.com/collections/all/products/burgess-cellars-cabernet-sauvignon,Burgess Cabernet Sauvignon,,4.1,3215.0,Burgess Cabernet Sauvignon,https://www.vivino.com/US-NY/en/wines/1936833,red-wine
44,Cabriz Coleheita Selecionda,10.35,https://www.bestbuywinewarehouse.com/collections/all/products/cabriz-coleheita-selecionda,Cabriz Coleheita Selecionda,,3.6,17009.0,Cabriz Colheita Seleccionada Tinto,https://www.vivino.com/US-NY/en/wines/2517937,red-wine
45,Cairel Barbera d'Alba,26.5,https://www.bestbuywinewarehouse.com/collections/all/products/cairel-barbera-dalba,Cairel Barbera d'Alba,,,,Cairel Vigneto Ca' Veja Barbera d’Alba,https://www.vivino.com/US-NY/en/wines/4982904,red-wine
46,Cantina Zaccagnini,23.95,https://www.bestbuywinewarehouse.com/collections/all/products/90,Cantina Zaccagnini,,3.8,81322.0,Cantina Zaccagnini Il Vino dal Tralcetto Montepulciano d'Abruzzo,https://www.vivino.com/US-NY/en/wines/2598569,red-wine
47,Capote Velho Tinto,11.95,https://www.bestbuywinewarehouse.com/collections/all/products/capote-velho-tinto,Capote Velho Tinto,,3.4,290.0,Capote Velho Tinto,https://www.vivino.com/US-NY/en/wines/2838845,red-wine
48,Capraia Chianti Classico,27.5,https://www.bestbuywinewarehouse.com/collections/all/products/91,Capraia Chianti Classico,,3.6,2118.0,Capraia Chianti Classico,https://www.vivino.com/US-NY/en/wines/1558164,red-wine
49,Capraia Chianti classico,27.5,https://www.bestbuywinewarehouse.com/collections/all/products/capraia-chianti-classico,Capraia Chianti classico,,3.6,2118.0,Capraia Chianti Classico,https://www.vivino.com/US-NY/en/wines/1558164,red-wine
50,Carlo Rossi Merlot,24.5,https://www.bestbuywinewarehouse.com/collections/all/products/carlo-rossi-merlot,Carlo Rossi Merlot,,3.5,219.0,Carlo Rossi Merlot Reserve,https://www.vivino.com/US-NY/en/wines/1511494,red-wine
51,Carlo Rossi White Zinfandel,24.5,https://www.bestbuywinewarehouse.com/collections/all/products/carlo-rossi-white-zinfandel,Carlo Rossi White Zinfandel,,3.4,334.0,Carlo Rossi White Zinfandel,https://www.vivino.com/US-NY/en/wines/169227920,red-wine
52,Carpineto Classico,22.0,https://www.bestbuywinewarehouse.com/collections/all/products/carpineto-classico,Carpineto Classico,,3.8,13415.0,Carpineto Chianti Classico Riserva,https://www.vivino.com/US-NY/en/wines/1962798,red-wine
53,Castelluccio Sangiovese,16.5,https://www.bestbuywinewarehouse.com/collections/all/products/castelluccio-sangiovese,Castelluccio Sangiovese,,3.6,19.0,Castelluccio Sangiovese di Castelluccio,https://www.vivino.com/US-NY/en/wines/168699359,red-wine
54,Castoro Merlot,18.5,https://www.bestbuywinewarehouse.com/collections/all/products/castoro-merlot,Castoro Merlot,,3.7,310.0,Castoro Cellars Merlot,https://www.vivino.com/US-NY/en/wines/4696522,red-wine
55,Catena Cabernet Sauvignon,22.0,https://www.bestbuywinewarehouse.com/collections/all/products/catena-cabernet-sauvignon,Catena Cabernet Sauvignon,,3.9,31498.0,Catena Cabernet Sauvignon,https://www.vivino.com/US-NY/en/wines/1523519,red-wine
56,Catena Cabernet Savignon,22.0,https://www.bestbuywinewarehouse.com/collections/all/products/catena-cabernet-savignon,Catena Cabernet Savignon,,3.9,31498.0,Catena Cabernet Sauvignon,https://www.vivino.com/US-NY/en/wines/1523519,red-wine
57,Catena Malbec,23.95,https://www.bestbuywinewarehouse.com/collections/all/products/catena-malbec,Catena Malbec,,4.0,135216.0,Catena Malbec,https://www.vivino.com/US-NY/en/wines/1469063,red-wine
