,title,url,price,vintage,search_name,vivino_score,num_reviews,vivino_name,vivino_link,wine_type
25,Owen Roe Syrah Ex Umbris 2018,https://shop.heinzcatering.berkeleybowl.com/product/85574100200,26.39,,Owen Roe Syrah Ex Umbris,4.0,3094.0,Owen Roe Ex Umbris Syrah,https://www.vivino.com/US-NY/en/wines/2045916,us_reds
26,Bliss Pinot Noir Wine,https://shop.heinzcatering.berkeleybowl.com/product/1248588002,16.49,,Bliss Pinot Noir,3.7,1052.0,Bliss Pinot Noir,https://www.vivino.com/US-NY/en/wines/4696192,us_reds
27,Brutocao Cellars Cabernet Sauvignon Wine,https://shop.heinzcatering.berkeleybowl.com/product/1248590002,21.99,,Brutocao Cabernet Sauvignon,4.1,93.0,Brutocao Family Vineyards Reserve Cabernet Sauvignon,https://www.vivino.com/US-NY/en/wines/154617747,us_reds
28,Underwood Pinot Noir,https://shop.heinzcatering.berkeleybowl.com/product/85603600100,13.19,,Underwood Pinot Noir,3.5,11641.0,Underwood Pinot Noir,https://www.vivino.com/US-NY/en/wines/2268001,us_reds
29,Wine Seghesio Zin Son Cty 750ml,https://shop.heinzcatering.berkeleybowl.com/product/8825475872,24.19,,Seghesio Zin Son Cty,4.1,49772.0,Seghesio Sonoma Zinfandel,https://www.vivino.com/US-NY/en/wines/1518141,us_reds
30,Angeline Cabernet Sauvignon,https://shop.heinzcatering.berkeleybowl.com/product/72972270010,10.99,,Angeline Cabernet Sauvignon,3.6,2916.0,Angeline Cabernet Sauvignon,https://www.vivino.com/US-NY/en/wines/4293085,us_reds
31,Covenant Wines Mensch Zinfandel,https://shop.heinzcatering.berkeleybowl.com/product/74825248501,21.99,,Covenant Wines Mensch Zinfandel,3.3,61.0,Covenant Mensch Zinfandel,https://www.vivino.com/US-NY/en/wines/161780084,us_reds
32,Line 39 Pinot Noir,https://shop.heinzcatering.berkeleybowl.com/product/89875600147,9.89,,Line 39 Pinot Noir,3.6,12612.0,Line 39 Pinot Noir,https://www.vivino.com/US-NY/en/wines/5195996,us_reds
33,Ridge Geyserville 50th Vintagered Wine California 2017,https://shop.heinzcatering.berkeleybowl.com/product/74444230100,54.99,,Ridge Geyserville 50th Vintagered Wine California,,,Turtle Rock Ridge Where Wine Is Art Syrah,https://www.vivino.com/US-NY/en/wines/144539342,us_reds
34,The Fableist Pinot Noir,https://shop.heinzcatering.berkeleybowl.com/product/71338253361,23.09,,The Fableist Pinot Noir,3.9,1586.0,The Fableist Pinot Noir (774),https://www.vivino.com/US-NY/en/wines/144905491,us_reds
35,RouteStock Chardonnay Route 121,https://shop.heinzcatering.berkeleybowl.com/product/72081504233,18.69,,RouteStock Chardonnay Route 121,3.4,51.0,RouteStock Chardonnay (Route 121) 2012,https://www.vivino.com/US-NY/en/wines/2438098,us_reds
36,Lava Cap Zinfandel Reserve,https://shop.heinzcatering.berkeleybowl.com/product/72092694057,25.29,,Lava Cap Zinfandel Reserve,,,Lava Cap Reserve Zinfandel,https://www.vivino.com/US-NY/en/wines/159663902,us_reds
37,Frey Vineyards Organic Zinfandel 2018,https://shop.heinzcatering.berkeleybowl.com/product/72151200065,17.59,,Frey Organic Zinfandel,3.3,243.0,Frey Organic Zinfandel,https://www.vivino.com/US-NY/en/wines/4874079,us_reds
38,Frey Natural Red Organic California Nv 750 Ml,https://shop.heinzcatering.berkeleybowl.com/product/72151200069,12.09,,Frey Natural Red Organic California Nv,3.3,1675.0,Frey Organic Natural Red,https://www.vivino.com/US-NY/en/wines/3379424,us_reds
39,Pacific Redwood Organic Cabernet Sauvignon 2018,https://shop.heinzcatering.berkeleybowl.com/product/72151200502,15.39,,Pacific Redwood Organic Cabernet Sauvignon,3.4,496.0,Pacific Redwood Organic Cabernet Sauvignon,https://www.vivino.com/US-NY/en/wines/3778452,us_reds
40,Pacific Redwood Organic Syrah 2018,https://shop.heinzcatering.berkeleybowl.com/product/72151200505,15.39,,Pacific Redwood Organic Syrah,3.3,224.0,Pacific Redwood Organic Syrah,https://www.vivino.com/US-NY/en/wines/2525795,us_reds
41,Bogle Vineyards Petite Sirah 2018,https://shop.heinzcatering.berkeleybowl.com/product/8088749374,12.09,,Bogle Petite Sirah,3.7,19807.0,Bogle Petite Sirah,https://www.vivino.com/US-NY/en/wines/1690924,us_reds
42,Frog's Leap Cabernet Sauvignon Estate Grown Napa valley 2017,https://shop.heinzcatering.berkeleybowl.com/product/71596208213,76.99,,Frog's Leap Cabernet Sauvignon Estate Grown Napa valley,4.1,11267.0,Frog's Leap Cabernet Sauvignon (Estate Grown),https://www.vivino.com/US-NY/en/wines/1497081,us_reds
43,Bogle Vineyards Merlot 2017,https://shop.heinzcatering.berkeleybowl.com/product/8088749378,10.99,,Bogle Merlot,3.6,18569.0,Bogle Merlot,https://www.vivino.com/US-NY/en/wines/1479910,us_reds
44,Bogle Vineyards Zinfandel Old Vines 2017,https://shop.heinzcatering.berkeleybowl.com/product/8088749385,10.99,,Bogle Zinfandel Old Vines,3.8,28092.0,Bogle Old Vine Zinfandel,https://www.vivino.com/US-NY/en/wines/1487234,us_reds
45,Bogle Vineyards Cabernet Sauvignon 2017,https://shop.heinzcatering.berkeleybowl.com/product/8088749396,10.99,,Bogle Cabernet Sauvignon,3.7,22961.0,Bogle Cabernet Sauvignon,https://www.vivino.com/US-NY/en/wines/1469333,us_reds
46,Line 39 Merlot,https://shop.heinzcatering.berkeleybowl.com/product/89875600123,9.89,,Line 39 Merlot,3.5,875.0,Line 39 Merlot,https://www.vivino.com/US-NY/en/wines/4898920,us_reds
47,Daou Cabernet Sauvignon Paso Robles 2019,https://shop.heinzcatering.berkeleybowl.com/product/89040900239,25.29,,Daou Cabernet Sauvignon Paso Robles,4.1,43155.0,DAOU Cabernet Sauvignon,https://www.vivino.com/US-NY/en/wines/94058930,us_reds
48,Wines Of Substance Cabernet Sauvignon Washington 2016,https://shop.heinzcatering.berkeleybowl.com/product/18474500300,16.49,,Wines Of Substance Cabernet Sauvignon Washington,4.2,28.0,Oestermann Family Wines Rosé of Cabernet Sauvignon,https://www.vivino.com/US-NY/en/wines/155782688,us_reds
49,Di Majo Norante Sangiovese 2018,https://shop.heinzcatering.berkeleybowl.com/product/79870910208,15.39,,Di Majo Norante Sangiovese,3.6,9035.0,Di Majo Norante Sangiovese,https://www.vivino.com/US-NY/en/wines/1573957,us_reds
50,Hess Select Cabernet Sauvignon 2016,https://shop.heinzcatering.berkeleybowl.com/product/71788851002,19.79,,Hess Select Cabernet Sauvignon,3.7,24245.0,Hess Select Cabernet Sauvignon,https://www.vivino.com/US-NY/en/wines/2488558,us_reds
51,Dry Creek Vineyard Cabernet Sauvignon,https://shop.heinzcatering.berkeleybowl.com/product/8249107702,29.69,,Dry Creek Cabernet Sauvignon,3.9,7089.0,Dry Creek Vineyard Cabernet Sauvignon,https://www.vivino.com/US-NY/en/wines/1506252,us_reds
52,Corvidae Wine Syrah Lenore 2017,https://shop.heinzcatering.berkeleybowl.com/product/85483700202,16.49,,Corvidae Wine Syrah Lenore,3.7,1318.0,Corvidae Lenore Syrah,https://www.vivino.com/US-NY/en/wines/1515480,us_reds
53,Tortoise Creek Zinfandel,https://shop.heinzcatering.berkeleybowl.com/product/8983241203,13.19,,Tortoise Creek Zinfandel,3.7,1892.0,Tortoise Creek Zinfandel,https://www.vivino.com/US-NY/en/wines/4853730,us_reds
54,Cline Cellars Old Vine Zinfandel,https://shop.heinzcatering.berkeleybowl.com/product/9865235002,13.19,,Cline Old Vine Zinfandel,3.4,86.0,Cline Admission Old Vine Zinfandel,https://www.vivino.com/US-NY/en/wines/165851619,us_reds
55,Cline Cellars Mourvedre Ancient Vines 2018,https://shop.heinzcatering.berkeleybowl.com/product/9865260002,18.69,,Cline Mourvedre Ancient Vines,3.9,5688.0,Cline Ancient Vines Mourvèdre,https://www.vivino.com/US-NY/en/wines/1591657,us_reds
56,The Fableist Cabernet Sauvignon,https://shop.heinzcatering.berkeleybowl.com/product/61680666107,25.29,,The Fableist Cabernet Sauvignon,4.1,6948.0,The Fableist Cabernet Sauvignon (373 / 206),https://www.vivino.com/US-NY/en/wines/4135145,us_reds
57,Lioco Mendocino Pinot Noir,https://shop.heinzcatering.berkeleybowl.com/product/66222599292,28.59,,Lioco Mendocino Pinot Noir,4.2,801.0,Lioco Pinot Noir,https://www.vivino.com/US-NY/en/wines/160691006,us_reds
58,Las Jaras Waves Rose,https://shop.heinzcatering.berkeleybowl.com/product/19589381606,10.99,,Las Jaras Waves Rose,3.8,52.0,Las Jaras Wines Waves Rosé,https://www.vivino.com/US-NY/en/wines/168288957,rose
