,title,price,url,search_name,vintage,vivino_score,num_reviews,vivino_name,vivino_link,wine_type,error_flag,country,region,winery_region,vintage_score,vintage_num_reviews,style,alcohol_perc,vivino_price
71,"France Domaine Des Grottes, Fonds De Terroir 2021",27.99,https://www.navywine.com/domaine-des-grottes-fond-de-terroir-2020.html,"France Domaine Des Grottes, Fonds De Terroir",2021.0,4.0,53.0,Domaine des Grottes Fonds de Terroir,https://www.vivino.com/US-NY/en/wines/169847069,red,True,France,Beaujolais,Rhone Valley,0.0,1.0,Red,,
72,"France Marcel Lapierre, Beaujolais Morgon 2021",44.99,https://www.navywine.com/marcel-lapierre-beaujolais-morgon-2020.html,"France Marcel Lapierre, Beaujolais Morgon",2021.0,4.1,17732.0,Domaine Marcel Lapierre Morgon,https://www.vivino.com/US-NY/en/wines/1942378,red,True,France,Morgon,Beaujolais,4.0,110.0,Red,12.0,40.0
73,"Italy Vino di Anna, Palmentino Rosso 2018",26.99,https://www.navywine.com/vino-di-anna-palmentino-rosso-2018.html,"Italy Vino di Anna, Palmentino Rosso",2018.0,4.1,495.0,Vino di Anna Palmentino Rosso,https://www.vivino.com/US-NY/en/wines/161073994,red,True,Italy,Etna,Terre Siciliane,4.1,179.0,Red,,26.99
74,"France Heitz-Lochardet, Beaune 1er Cru 'Boucherottes' 2018",77.99,https://www.navywine.com/heitz-lochardet-beaune-1er-cru-boucherottes-2018.html,"France Heitz-Lochardet, Beaune 1er Cru 'Boucherottes'",2018.0,4.3,20.0,Domaine Armand Heitz Beaune 1er Cru 'Les Boucherottes',https://www.vivino.com/US-NY/en/wines/163076350,red,True,France,Beaune 1er Cru 'Les Boucherottes',Bourgogne,4.2,17.0,Côte de Beaune Red,,56.95
75,"France Matthieu Barret, Cornas 'Brise Cailloux' 2018",61.99,https://www.navywine.com/matthieu-barret-cornas-brise-cailloux-2018.html,"France Matthieu Barret, Cornas 'Brise Cailloux'",2018.0,4.0,2594.0,Domaine du Coulet - Matthieu Barret Brise Cailloux Cornas,https://www.vivino.com/US-NY/en/wines/1826868,red,True,France,Cornas,Cornas,4.2,347.0,Cornas,13.5,60.0
76,"Spain Partida Creus, 'TP' Trepat Catalunya 2018 MAGNUM - 1.5L",124.99,https://www.navywine.com/partida-creus-tp-trepat-catalunya-2018-magnum-15l.html,"Spain Partida Creus, 'TP' Trepat Catalunya MAGNUM - 1.5L",2018.0,4.2,111.0,Partida Creus TP (Trepat),https://www.vivino.com/US-NY/en/wines/155264876,red,True,Spain,Catalunya,Catalunya,4.3,22.0,Red,12.5,
77,"Spain Partida Creus, 'BB' Bobal Catalunya 2018 MAGNUM - 1.5L",81.99,https://www.navywine.com/partida-creus-bb-bobal-catalunya-2018-magnum-15l.html,"Spain Partida Creus, 'BB' Bobal Catalunya MAGNUM - 1.5L",2018.0,4.1,404.0,Partida Creus BB,https://www.vivino.com/US-NY/en/wines/152429373,red,True,Spain,Catalunya,Catalunya,4.1,163.0,Red,12.5,
78,"Italy Calabretta, 'Cala Cala' Vino Rosso (NV)",19.99,https://www.navywine.com/calabretta-cala-cala-vino-rosso.html,"Italy Calabretta, 'Cala Cala' Vino Rosso",,3.2,12.0,Ca La Sposa Vino Rosso,https://www.vivino.com/US-NY/en/wines/3239089,red,True,,,,,,,,
79,"United States Dirty & Rowdy, Mourvedre Enz Vineyard 2017",19.99,https://www.navywine.com/dirty-rowdy-mourvedre-enz-vineyard-2017.html,"United States Dirty & Rowdy, Mourvedre Enz",2017.0,3.8,76.0,Dirty & Rowdy ENZ Vineyard Mourvèdre,https://www.vivino.com/US-NY/en/wines/156810408,red,True,United States,California,California,3.9,35.0,Red Blend,,22.99
80,"Chile Siete Perros, Cabernet Sauvignon 2020",18.99,https://www.navywine.com/siette-perros-cabernet-sauvignon-2020.html,"Chile Siete Perros, Cabernet Sauvignon",2020.0,3.8,319.0,Viña Casalibre Siete Perros Cabernet Sauvignon,https://www.vivino.com/US-NY/en/wines/160892115,red,True,Chile,Maipo Valley,Maipo Valley,3.8,32.0,Cabernet Sauvignon,13.0,21.84
81,"Italy Normanno, 'Ciello Rosso' Nero D'Avola 2020",14.99,https://www.navywine.com/normanno-ciello-rosso-nero-davola-2020.html,"Italy Normanno, 'Ciello Rosso' Nero D'Avola",2020.0,3.4,1378.0,Rallo Ciello Rosso Nero d'Avola,https://www.vivino.com/US-NY/en/wines/7255432,red,True,Italy,Terre Siciliane,Terre Siciliane,3.4,175.0,Red,12.5,
82,"France Chateau le Puy, Cuvee 'Emilien' Bordeaux 2017",52.99,https://www.navywine.com/chateau-le-puy-cuvee-emilien-bordeaux-2017.html,"France Chateau le Puy, Cuvee 'Emilien' Bordeaux",2017.0,,,Château le Puy Laforest Cuvée Tradition Bordeaux,https://www.vivino.com/US-NY/en/wines/162603660,red,True,France,Bordeaux,Entre-deux-Mers,,,Red,,
83,"Spain Vinyes Singulars, '1000 R' 2019",29.99,https://www.navywine.com/vinyez-singulars-1000-r-2019.html,"Spain Vinyes Singulars, '1000 R'",2019.0,3.8,38.0,Vinyes Singulars 1000 Races Negre,https://www.vivino.com/US-NY/en/wines/156412431,red,True,Spain,Catalunya,Catalunya,0.0,5.0,Red,13.5,
84,"Australia Lucy Margaux, Vino Rosso 2021",32.99,https://www.navywine.com/lucy-margaux-vino-rosso-2020.html,"Australia Lucy Margaux, Vino Rosso",2021.0,3.9,28.0,Lucy Margaux Vineyards - Domaine Lucci Vino Rosso White + Red,https://www.vivino.com/US-NY/en/wines/155908459,red,True,Australia,Adelaide Hills,Adelaide Hills,0.0,1.0,,,
85,"United States Bedrock, Old Vine Sonoma Valley Zinfandel 2019",26.99,https://www.navywine.com/bedrock-old-vine-sonoma-valley-zinfandel-2019.html,"United States Bedrock, Old Vine Sonoma Valley Zinfandel",2019.0,3.9,5221.0,Bedrock Wine Co. Old Vine Zinfandel,https://www.vivino.com/US-NY/en/wines/7285195,red,True,United States,Sonoma Valley,Sonoma County,3.8,273.0,Zinfandel,,23.99
86,"Chile Vina Maitia, 'Aupa' Pipeno CAN 2020 - 250mL",5.99,https://www.navywine.com/vina-maitia-aupa-pipeno-can-2020-250ml.html,"Chile Vina Maitia, 'Aupa' Pipeno CAN - 250mL",2020.0,3.7,2083.0,Maitia Aupa Pipeño,https://www.vivino.com/US-NY/en/wines/4975087,red,True,Chile,Maule Valley,Maule Valley,3.8,439.0,,13.0,12.99
87,"France Domaine Rollin Pere et Fils, 'Les Vergelesses' Pernand-Vergelesses Rouge 1er Cru 2018",64.99,https://www.navywine.com/domaine-rollin-pere-et-fils-les-vergelesses-pernan.html,"France Domaine Rollin Pere et Fils, 'Les Vergelesses' Pernand-Vergelesses Rouge 1er Cru",2018.0,4.0,364.0,Rollin Père et Fils Pernand-Vergelesses Premier Cru 'Les Fichots',https://www.vivino.com/US-NY/en/wines/9223510,red,True,France,Pernand-Vergelesses 1er Cru 'Les Fichots',Côte de Beaune,4.1,15.0,Côte de Beaune Red,13.0,44.95
88,"France Matthieu Barret, 'Petit Ours' Syrah 2020",25.99,https://www.navywine.com/matthieu-barret-petit-ours-syrah-2019.html,"France Matthieu Barret, 'Petit Ours' Syrah",2020.0,4.1,10.0,Domaine du Coulet - Matthieu Barret Petit Ours Rosé,https://www.vivino.com/US-NY/en/wines/169025643,red,True,France,Vin de France,Cornas,0.0,4.0,,,
89,"Italy Foradori, 'Lezer' Teroldego 2021",30.99,https://www.navywine.com/foradori-lezer-teroldego-2020.html,"Italy Foradori, 'Lezer' Teroldego",2021.0,3.8,11977.0,Foradori Foradori - Teroldego,https://www.vivino.com/US-NY/en/wines/1504591,red,True,Italy,Vigneti delle Dolomiti,Trentino-Alto Adige,3.7,12.0,Red,,35.75
90,"Italy Lammidia, Anfora Rosso Abruzzo 2019",38.99,https://www.navywine.com/lammidia-anfora-rosso-abruzzo-2019.html,"Italy Lammidia, Anfora Rosso Abruzzo",2019.0,4.1,171.0,Lammidia Anfora Rosso,https://www.vivino.com/US-NY/en/wines/157862142,red,True,Italy,Montepulciano d'Abruzzo,Abruzzo,4.0,28.0,Red,,
91,"France Chemins de Bassac, 'Le Champs des Maures' Cabernet Sauvignon 2019",15.99,https://www.navywine.com/chemins-de-bassac-le-champs-des-maures-cab-sauv-20.html,"France Chemins de Bassac, 'Le Champs des Maures' Cabernet Sauvignon",2019.0,3.8,75.0,Les Chemins de Bassac Le Champs des Maures,https://www.vivino.com/US-NY/en/wines/168072033,red,True,France,Languedoc,Côtes de Thongue,0.0,8.0,Red,,
92,"United States Deux Punx, Grenache Tejada Vineyard 2019",21.99,https://www.navywine.com/deux-punx-grenache-tejada-vineyard-2019.html,"United States Deux Punx, Grenache Tejada",2019.0,3.8,44.0,Deux Punx Tejada Vineyard Grenache,https://www.vivino.com/US-NY/en/wines/4936730,red,True,United States,Lake County,California,0.0,8.0,,14.1,
93,"Spain Partida Creus, 'BB' Bobal Catalunya 2020",32.99,https://www.navywine.com/partida-creus-bb-bobal-catalunya-2019.html,"Spain Partida Creus, 'BB' Bobal Catalunya",2020.0,4.1,404.0,Partida Creus BB,https://www.vivino.com/US-NY/en/wines/152429373,red,True,Spain,Catalunya,Catalunya,4.1,12.0,Red,12.5,
94,"United States St. Reginald Parish, 'The Marigny' Carbonic Pinot Noir 2021",29.99,https://www.navywine.com/st-reginald-parish-the-marigny-carbonic-pinot-noir.html,"United States St. Reginald Parish, 'The Marigny' Carbonic Pinot Noir",2021.0,4.3,241.0,The Marigny Carbonic Pinot Noir,https://www.vivino.com/US-NY/en/wines/140882230,red,False,United States,Ribbon Ridge,Willamette Valley,,,Pinot Noir,,
95,"France Bonnet Cotton, Fleurie,  Beaujolais 2020",45.99,https://www.navywine.com/pierre-cotton-fleurie-poncie-beaujolais-2019.html,"France Bonnet Cotton, Fleurie, Beaujolais",2020.0,3.4,750.0,Les Grands Chais de France Beaujolais Nouveau,https://www.vivino.com/US-NY/en/wines/5019760,red,True,France,Beaujolais Nouveau,Guyenne,,,Red,12.0,
96,"United States Ruth Lewandowski, Feints American Red 2021",29.99,https://www.navywine.com/ruth-lewandowski-feints-american-red-2020.html,"United States Ruth Lewandowski, Feints American Red",2021.0,4.3,1618.0,Ruth Lewandowski Feints,https://www.vivino.com/US-NY/en/wines/6656610,red,True,United States,Mendocino County,Sonoma County,4.3,103.0,,12.6,
97,"Italy Uccelliera, Rosso di Montalcino 2019",28.99,https://www.navywine.com/uccelliera-rosso-di-montalcino-2018.html,"Italy Uccelliera, Rosso di Montalcino",2019.0,3.9,2809.0,Uccelliera Rosso di Montalcino,https://www.vivino.com/US-NY/en/wines/1955646,red,True,Italy,Toscana,Toscana,3.8,114.0,Red,,27.99
98,"France Chateau Simian, 'Atout' Rouge (NV)",15.99,https://www.navywine.com/chateau-simian-atout-rouge-nv.html,"France Chateau Simian, 'Atout' Rouge",,3.6,225.0,Château Simian Atout Rouge,https://www.vivino.com/US-NY/en/wines/135464793,red,True,France,Vin de France,Southern Rhône,,,,,
99,"Italy Caprili, Brunello di Montalcino 2016",55.99,https://www.navywine.com/caprili-brunello-di-montalcino-2016.html,"Italy Caprili, Brunello di Montalcino",2016.0,4.3,9058.0,Caprili Brunello di Montalcino,https://www.vivino.com/US-NY/en/wines/1967540,red,True,Italy,Brunello di Montalcino,Toscana,4.3,547.0,Brunello,15.0,47.99
100,"France Pas de Probleme, Pinot Noir 2020",14.99,https://www.navywine.com/pas-de-probleme-pinot-noir-2019.html,"France Pas de Probleme, Pinot Noir",2020.0,3.8,585.0,Pas de Problème Pinot Noir,https://www.vivino.com/US-NY/en/wines/165071847,red,True,France,Vin de France,Vin de France,3.8,69.0,,13.0,16.99
101,"France Benjamin Taillandier, 'Laguzelle' Minervois 2020",16.99,https://www.navywine.com/benjamin-taillandier-laguzelle-minervois-2019.html,"France Benjamin Taillandier, 'Laguzelle' Minervois",2020.0,3.7,1367.0,Domaine Benjamin Taillandier Laguzelle Minervois,https://www.vivino.com/US-NY/en/wines/4843685,red,True,France,Minervois,Minervois,3.9,154.0,Red,14.0,19.17
102,"United States Les Lunes,  'Astral' Blend 2021",25.99,https://www.navywine.com/les-lunes-astral-blend-2020.html,"United States Les Lunes, 'Astral' Blend",2021.0,4.2,368.0,Les Lunes Wine Astral Blend,https://www.vivino.com/US-NY/en/wines/163499607,red,True,United States,California,Contra Costa County,4.0,43.0,Red Blend,12.5,
103,"Italy Vietti, ‘Tre Vigne’ Barbera D’Asti 2019",18.99,https://www.navywine.com/vietti-tre-vigne-barbera-dasti-2018.html,"Italy Vietti, ‘Tre Vigne’ Barbera D’Asti",2019.0,3.9,10860.0,Vietti Barbera d'Asti Tre Vigne,https://www.vivino.com/US-NY/en/wines/1984755,red,True,Italy,Barbera d'Asti,Barolo,3.9,1326.0,Barbera,14.07,16.99
104,"Australia Chalk Hill, 'Wits End' Luna Shiraz McLaren Vale 2019",17.99,https://www.navywine.com/chalk-hill-wits-end-luna-shiraz-mclaren-vale-2019.html,"Australia Chalk Hill, 'Wits End' Luna Shiraz McLaren Vale",2019.0,3.7,1084.0,Chalk Hill Luna Shiraz,https://www.vivino.com/US-NY/en/wines/4823436,red,True,Australia,McLaren Vale,McLaren Vale,3.9,233.0,Shiraz,14.5,
105,"Italy FUSO, 'CALX' Primitivo 2020",15.99,https://www.navywine.com/fuso-calx-primitivo-2019.html,"Italy FUSO, 'CALX' Primitivo",2020.0,3.9,1091.0,Polvanera Calx Primitivo,https://www.vivino.com/US-NY/en/wines/157789872,red,True,Italy,Puglia,Puglia,3.9,187.0,Primitivo,13.5,16.0
106,"France Vagabonde, Cotes du Rhone Rouge 2020 - 1.5L Bag",21.99,https://www.navywine.com/vagabonde-cotes-du-rhone-rouge-2019-15l-bag.html,"France Vagabonde, Cotes du Rhone Rouge - 1.5L Bag",2020.0,3.3,125.0,Grand Vin de France Côtes-Du-Rhône Rouge,https://www.vivino.com/US-NY/en/wines/5096601,red,True,France,Bourgogne,,0.0,8.0,Red,,
107,"United States Maitre de Chai, Red Table Blend 2018",19.99,https://www.navywine.com/maitre-de-chai-red-table-blend-2018.html,"United States Maitre de Chai, Red Table Blend",2018.0,4.0,19.0,Maître-de-Chai Red Blend,https://www.vivino.com/US-NY/en/wines/167367162,red,True,United States,Clements Hills,California,3.8,13.0,Red Blend,,
108,"Italy Fabio Gea, 'Cul Otte' Langhe Rosso (Nebbiolo) 2019",59.99,https://www.navywine.com/fabio-gea-cul-otte-langhe-rosso-nebbiolo-2019.html,"Italy Fabio Gea, 'Cul Otte' Langhe Rosso",2019.0,4.2,211.0,Fabio Gea Cul Otte,https://www.vivino.com/US-NY/en/wines/155306044,red,True,Italy,Piemonte,Piemonte,4.1,33.0,Red,,
109,"France Domaine de la Pepiere, Cabernet Franc 'La Pepie' 2020",17.99,https://www.navywine.com/domaine-de-la-pepiere-cabernet-franc-la-pepie-2019.html,"France Domaine de la Pepiere, Cabernet Franc 'La Pepie'",2020.0,,,Thierry Pineau - Domaine de la Noue Cabernet Franc,https://www.vivino.com/US-NY/en/wines/158533693,red,True,France,Vin de France,Vin de France,,,,12.0,
110,"Greece Kamara, 'Nimbus Russus' 2017",26.99,https://www.navywine.com/kamara-nimbus-russus-2017.html,"Greece Kamara, 'Nimbus Russus'",2017.0,3.8,432.0,Kamara Kioutsouki Estate Nimbus Russus,https://www.vivino.com/US-NY/en/wines/153386943,red,True,Greece,Thessaloniki,Thessaloniki,3.9,124.0,,,
111,"Italy Berta, Sangiovese di Romagna 2019",14.99,https://www.navywine.com/berta-sangiovese-di-romagna-2019.html,"Italy Berta, Sangiovese di Romagna",2019.0,3.6,649.0,Podere La Berta Solano Superiore Sangiovese,https://www.vivino.com/US-NY/en/wines/4863000,red,True,Italy,Sangiovese di Romagna,Emilia-Romagna,3.6,26.0,Red,,22.67
112,"United States Haarmeyer, 'St. Rey' Zinfandel SRV 2018",20.99,https://www.navywine.com/haarmeyer-zinfandel-srv-2018.html,"United States Haarmeyer, 'St. Rey' Zinfandel SRV",2018.0,3.9,67.0,Haarmeyer St Rey SRV Zinfandel,https://www.vivino.com/US-NY/en/wines/160504429,red,True,United States,California,Cienega Valley,3.8,24.0,Zinfandel,,
113,"Argentina MDZ, Malbec Mendoza 2020 - 3L",20.99,https://www.navywine.com/mdz-malbec-mendoza-2020-3l.html,"Argentina MDZ, Malbec Mendoza - 3L",2020.0,,,Tierra Argentina Malbec Mendoza,https://www.vivino.com/US-NY/en/wines/161393202,red,True,Argentina,Mendoza,,,,Malbec,,
114,"France Potron Minet, 'Roule Boule' 2020",24.99,https://www.navywine.com/potron-minet-roule-boule-2019.html,"France Potron Minet, 'Roule Boule'",2020.0,3.6,43.0,Potron Minet Roulé Boulé,https://www.vivino.com/US-NY/en/wines/157097750,red,True,France,Côtes du Roussillon,Languedoc-Roussillon,0.0,1.0,Red,,
115,"Italy Iuli, 'Rossore' Barbera  2019",23.99,https://www.navywine.com/iuli-rossore-barbera-2019.html,"Italy Iuli, 'Rossore' Barbera",2019.0,4.0,764.0,Iuli Rossore Barbera,https://www.vivino.com/US-NY/en/wines/1675910,red,True,Italy,Barbera del Monferrato Superiore,Barbera del Monferrato Superiore,0.0,6.0,Barbera,14.5,25.58
116,"France Chermette, Beaujolais  'Origine' Vieilles Vignes 2020",17.99,https://www.navywine.com/chermette-beaujolais-origine-vieilles-vignes-2019.html,"France Chermette, Beaujolais 'Origine' Vieilles Vignes",2020.0,3.8,1300.0,Martine et Pierre Marie Chermette - Domaine du Vissoux Vieilles Vignes Origine Beaujolais,https://www.vivino.com/US-NY/en/wines/154760989,red,True,France,Beaujolais,Beaujolais,3.8,200.0,Red,,22.0
117,"United States Broc Cellars, Le Clairet 'Perfect Red' 2019",21.99,https://www.navywine.com/broc-cellars-le-clairet-perfect-red-2019.html,"United States Broc , Le Clairet 'Perfect Red'",2019.0,,,Tr3 Reserve Napa Valley United States Red,https://www.vivino.com/US-NY/en/wines/4983128,red,True,,,,,,,,
118,"France Chateau Beausejour, 'Cuvee Speciale' Puisseguin Saint-Emilion Bordeaux 2018",30.99,https://www.navywine.com/chateau-beausejour-cuvee-speciale-puisseguin-saint.html,"France Chateau Beausejour, 'Cuvee Speciale' Puisseguin Saint-Emilion Bordeaux",2018.0,4.0,280.0,Château Beausejour Cuvee Petit Beausejour Puisseguin-Saint-Emilion,https://www.vivino.com/US-NY/en/wines/1967060,red,True,France,Puisseguin-Saint-Émilion,Puisseguin-Saint-Émilion,4.0,29.0,Saint-Émilion,,14.99
119,"Spain Maquina y Tabla, 'El Oso y La Alemana' Toro Tinto 2019",19.99,https://www.navywine.com/maquina-y-tabla-el-oso-y-la-alemana-toro-tinto-201.html,"Spain Maquina y Tabla, 'El Oso y La Alemana' Toro Tinto",2019.0,3.8,589.0,Màquina y Tabla El Oso y La Alemana Tinto,https://www.vivino.com/US-NY/en/wines/159865234,red,True,Spain,Toro,Castilla y León,4.0,187.0,Toro Red,14.5,
120,"France Christian Venier, Les Hauts de Madon 2020",31.99,https://www.navywine.com/christian-venier-les-hauts-de-madon-2019.html,"France Christian Venier, Les Hauts de Madon",2020.0,4.0,1061.0,Christian Venier Les Hauts de Madon,https://www.vivino.com/US-NY/en/wines/4857804,red,True,France,Cheverny,Touraine,4.2,94.0,Red,13.0,38.4
121,"Italy Produttori del Barbaresco, Barbaresco 2018",47.99,https://www.navywine.com/produttori-del-barbaresco-barbaresco-2016.html,"Italy Produttori del Barbaresco, Barbaresco",2018.0,4.0,38635.0,Produttori del Barbaresco Barbaresco,https://www.vivino.com/US-NY/en/wines/1471744,red,False,Italy,Barbaresco,Barbaresco,4.2,651.0,Barbaresco,14.5,45.98
122,"United States Ceritas, 'Rivina' Pinot Noir 2018",94.99,https://www.navywine.com/ceritas-rivina-pinot-noir.html,"United States Ceritas, 'Rivina' Pinot Noir",2018.0,4.3,47.0,Ceritas Rivina Pinot Noir,https://www.vivino.com/US-NY/en/wines/163560032,red,True,United States,Sonoma Coast,California,4.3,43.0,Pinot Noir,,79.99
123,"Italy Gianfranco Alessandria, Langhe Nebbiolo 2019",21.99,https://www.navywine.com/gianfranco-alessandria-langhe-nebbiolo-2017.html,"Italy Gianfranco Alessandria, Langhe Nebbiolo",2019.0,3.7,708.0,Gianfranco Alessandria Langhe Nebbiolo,https://www.vivino.com/US-NY/en/wines/4219648,red,True,Italy,Langhe,Piemonte,3.9,41.0,Nebbiolo,14.0,25.5
124,"Italy G.D. Vajra, Barolo Albe 2017",37.99,https://www.navywine.com/gd-vajra-barolo-albe-2016.html,"Italy G.D. Vajra, Barolo Albe",2017.0,4.0,21668.0,G.D. Vajra Albe Barolo,https://www.vivino.com/US-NY/en/wines/1475711,red,True,Italy,Barolo,Piemonte,4.1,2284.0,Barolo,,36.99
125,"Italy Girolamo Russo, 'A Rina' Etna Rosso 2018",34.99,https://www.navywine.com/girolamo-russo-a-rina-etna-rosso-2017.html,"Italy Girolamo Russo, 'A Rina' Etna Rosso",2018.0,4.0,7420.0,Girolamo Russo 'a Rina Etna Rosso,https://www.vivino.com/US-NY/en/wines/4214513,red,True,Italy,Etna,Etna,4.0,801.0,Red,13.5,36.83
126,"Italy Radikon, RS 'Rosso Sasa 2018",43.99,https://www.navywine.com/radikon-rs-rosso-sasa-2018.html,"Italy Radikon, RS 'Rosso Sasa",2018.0,4.1,506.0,Radikon RS,https://www.vivino.com/US-NY/en/wines/159687740,red,True,Italy,Friuli-Venezia Giulia,Friuli-Venezia Giulia,4.2,150.0,Red,,39.99
127,"France Clos de la Roilette, Fleurie 2020",24.99,https://www.navywine.com/clos-de-la-roilette-fleurie-cuve-christie-2019.html,"France Clos de la Roilette, Fleurie",2020.0,3.8,3179.0,Clos de la Roilette Fleurie,https://www.vivino.com/US-NY/en/wines/3962194,red,True,France,Fleurie,Fleurie,3.9,294.0,Red,13.0,24.99
128,"Italy Scala, Ciro Rosso (Gaglioppo) 2019",20.99,https://www.navywine.com/scala-ciro-rosso-gaglioppo-2018.html,"Italy Scala, Ciro Rosso",2019.0,3.8,2585.0,Scala Cirò Rosso Classico Superiore,https://www.vivino.com/US-NY/en/wines/8110958,red,True,Italy,Cirò,Campania,3.7,344.0,Red,13.0,25.08
129,"Slovenia Keltis, Zan Red 2020",24.99,https://www.navywine.com/keltis-zan-red-2019.html,"Slovenia Keltis, Zan Red",2020.0,4.0,670.0,Keltis Žan,https://www.vivino.com/US-NY/en/wines/160698616,red,True,Slovenia,Štajerska,Štajerska,3.8,71.0,,11.0,28.83
130,"Austria Tschida, ‘Himmel Auf Erden' Rot 2017",35.99,https://www.navywine.com/tschida-himmel-auf-erden-rot-2017.html,"Austria Tschida, ‘Himmel Auf Erden' Rot",2017.0,4.0,1203.0,Christian Tschida Himmel Auf Erden Rot,https://www.vivino.com/US-NY/en/wines/141745722,red,True,Austria,Neusiedlersee,Neusiedlersee,3.9,156.0,,,
131,"France Potron Minet, Pari Trouillas Rouge 2020",23.99,https://www.navywine.com/potron-minet-pari-trouillas-rouge-2019.html,"France Potron Minet, Pari Trouillas Rouge",2020.0,3.7,500.0,Potron Minet Pari Trouillas Rouge,https://www.vivino.com/US-NY/en/wines/2416050,red,True,France,Vin de France,Languedoc-Roussillon,3.8,40.0,,,
132,"Spain Alfredo Arribas, SiurAlta Rouge 2018",17.99,https://www.navywine.com/alfredo-arribas-siuralta-rouge-2017.html,"Spain Alfredo Arribas, SiurAlta Rouge",2018.0,3.8,3287.0,Alfredo Arribas Gotes del Priorat,https://www.vivino.com/US-NY/en/wines/30530486,red,True,Spain,Priorat,Montsant,3.9,182.0,Priorat Red,14.0,
133,"United States Montebruno, Pinot Noir Eola Amity Hills 2015",30.99,https://www.navywine.com/montebruno-pinot-noir-eola-amity-hills-2015.html,"United States Montebruno, Pinot Noir Eola Amity Hills",2015.0,3.8,338.0,Montebruno Pinot Noir,https://www.vivino.com/US-NY/en/wines/2245358,red,True,United States,Eola-Amity Hills,Willamette Valley,4.0,28.0,Pinot Noir,13.0,
134,"Spain Companon Arrieta, 'Herrigoia' Rioja 2020",15.99,https://www.navywine.com/companon-arrieta-herrigoia-rioja-2019.html,"Spain Companon Arrieta, 'Herrigoia' Rioja",2020.0,3.5,879.0,Bodegas Companon Arrieta (El Mozo Wines) Herrigoia,https://www.vivino.com/US-NY/en/wines/5217781,red,True,Spain,Rioja Alavesa,Rioja,3.7,117.0,Rioja Red,,14.99
135,"Italy G.D. Vajra, Barbera d'Alba 2018",23.99,https://www.navywine.com/gd-vajra-barbera-dalba-2017.html,"Italy G.D. Vajra, Barbera d'Alba",2018.0,4.0,11768.0,G.D. Vajra Barbera d'Alba,https://www.vivino.com/US-NY/en/wines/1469457,red,True,Italy,Barbera d'Alba,Piemonte,4.1,1595.0,Barbera,,21.99
136,France Domain Des Grottes 'Truc De Buve' Beaujolais 2018,23.99,https://www.navywine.com/eov-romain-des-grottes-truc-de-buve-beaujolais-201.html,France Domain Des Grottes 'Truc De Buve' Beaujolais,2018.0,3.9,159.0,Domaine des Grottes Truc de Buve,https://www.vivino.com/US-NY/en/wines/161494189,red,True,France,Vin de France,Rhone Valley,4.0,28.0,,11.0,
137,"United States Las Jaras, 'Glou Glou' Red 2021",29.99,https://www.navywine.com/las-jaras-glou-glou-red-2019.html,"United States Las Jaras, 'Glou Glou' Red",2021.0,4.3,2130.0,Las Jaras Wines Glou Glou,https://www.vivino.com/US-NY/en/wines/157155166,red,True,United States,Mendocino County,Calistoga,4.1,86.0,Red Blend,12.0,28.99
138,"France Domaine Jean Foillard, Morgon Cote du Py Beaujolais 2020",57.99,https://www.navywine.com/domaine-foillard-morgon-cote-du-py-beaujolais-2018.html,"France Domaine Jean Foillard, Morgon Cote du Py Beaujolais",2020.0,4.2,16685.0,Jean Foillard Morgon Côte du Py,https://www.vivino.com/US-NY/en/wines/3185017,red,True,France,Morgon,Beaujolais,4.2,418.0,Red,13.0,42.39
139,"Italy Gulfi, 'Rossojbleo' Nero D'Avola 2019",20.99,https://www.navywine.com/gulfi-rossojbleo-nero-davola-2018.html,"Italy Gulfi, 'Rossojbleo' Nero D'Avola",2019.0,4.1,464.0,Gulfi Nero D'Avola Nerosanlorenzj,https://www.vivino.com/US-NY/en/wines/17306901,red,True,Italy,Terre Siciliane,Terre Siciliane,0.0,3.0,Red,14.0,
140,"France Domaine Rollin Pere et Fils, Pernand-Vergelesses Rouge 2019",48.99,https://www.navywine.com/domaine-rollin-pernand-vergelesses-rouge-2017.html,"France Domaine Rollin Pere et Fils, Pernand-Vergelesses Rouge",2019.0,4.0,500.0,Rollin Père et Fils Pernand-Vergelesses Rouge,https://www.vivino.com/US-NY/en/wines/4750144,red,True,France,Pernand-Vergelesses,Côte de Beaune,4.1,16.0,Côte de Beaune Red,13.0,39.99
141,"France Thomas Boutin, La Quillette 2020",23.99,https://www.navywine.com/thomas-boutin-la-quillette-cab-franc-2017.html,"France Thomas Boutin, La Quillette",2020.0,4.0,133.0,Thomas Boutin La Quillette,https://www.vivino.com/US-NY/en/wines/52375277,red,True,France,Anjou,Loire Valley,0.0,1.0,,,
142,"France Marie Rocher, 'Les Passantes' Gamay 2020",28.99,https://www.navywine.com/marie-rocher-les-passantes-gamay-2018.html,"France Marie Rocher, 'Les Passantes' Gamay",2020.0,4.1,325.0,Marie Rocher Les Passantes,https://www.vivino.com/US-NY/en/wines/161240418,red,True,France,Loire Valley,Loire Valley,0.0,2.0,,,
