,title,price,url,search_name,vintage,vivino_score,num_reviews,vivino_name,vivino_link,wine_type,error_flag,country,region,winery_region,vintage_score,vintage_num_reviews,style,alcohol_perc,vivino_price
16,"United States Folk Tree, Pinot Noir 'Village Series' 2018",15.99,https://www.navywine.com/folk-tree-pinot-noir-village-series-2018.html,"United States Folk Tree, Pinot Noir 'Village Series'",2018.0,3.9,397.0,Folk Tree Village Series Pinot Noir,https://www.vivino.com/US-NY/en/wines/150837747,red,True,United States,Central Coast,Central Coast,3.8,166.0,Pinot Noir,13.0,12.99
17,"France Bonnet Cotton, Brouilly '100% Cotton' Bonnege 2020",43.99,https://www.navywine.com/bonnet-cotton-brouilly-100-cotton-bonnege-2020.html,"France Bonnet Cotton, Brouilly '100% Cotton' Bonnege",2020.0,,,Pierre Cotton Brouilly 'Bonnège',https://www.vivino.com/US-NY/en/wines/168415339,red,True,France,Brouilly,Côte de Brouilly,,,Red,13.5,
18,"France Bonnet Cotton, Cote De Brouilly 'Les Grilles' 2020",51.99,https://www.navywine.com/pierre-cotton-cote-de-brouilly-les-grilles-2020.html,"France Bonnet Cotton, Cote De Brouilly 'Les Grilles'",2020.0,4.1,139.0,Pierre Cotton Côte de Brouilly 'Les Grillés',https://www.vivino.com/US-NY/en/wines/155854469,red,True,France,Côte de Brouilly,Côte de Brouilly,0.0,6.0,Red,13.5,48.99
19,"United States Jolie-Laide, Pinot Gris ‘Mere’ 2021",36.99,https://www.navywine.com/jolie-laide-pinot-gris-2021.html,"United States Jolie-Laide, Pinot Gris ‘Mere’",2021.0,4.1,175.0,Jolie-Laide Pinot Gris,https://www.vivino.com/US-NY/en/wines/161179769,red,True,United States,Sonoma County,California,4.2,19.0,Pinot Gris,,33.0
20,"United States Jolie-Laide, ‘Dans le Vide’ Red (Trousseau \Cab Pfeffer\Gamay\Valdeguie) 2021",43.99,https://www.navywine.com/jolie-laide-red-trousseau-cab-pfeffergamayvaldegui.html,"United States Jolie-Laide, ‘Dans le Vide’ Red",2021.0,4.2,26.0,Jolie-Laide Dans le Vide,https://www.vivino.com/US-NY/en/wines/171424556,red,True,United States,North Coast,California,0.0,1.0,Red Blend,,
21,"Italy Cantine Barbera, 'Dynamon' Nero d'Avola 2021 - 1L",15.99,https://www.navywine.com/cantine-barbera-dynamon-nero-davola-2021-1l.html,"Italy Cantine Barbera, 'Dynamon' Nero d'Avola - 1L",2021.0,3.4,199.0,Cantine Barbera Nero d'Avola,https://www.vivino.com/US-NY/en/wines/2347054,red,True,Italy,Sicilia,Terre Siciliane,,,Red,,
22,"Italy NOAH, Bramaterra 2017",39.99,https://www.navywine.com/noah-bramaterra-2017.html,"Italy NOAH, Bramaterra",2017.0,4.0,478.0,Noah Bramaterra,https://www.vivino.com/US-NY/en/wines/133664441,red,True,Italy,Bramaterra,Bramaterra,4.0,32.0,Red,,29.99
23,"United States Jax Vineyards, 'Y3' Russian River Pinot Noir 2018",29.99,https://www.navywine.com/jax-vineyards-y3-russian-river-pinot-noir-2018.html,"United States Jax , 'Y3' Russian River Pinot Noir",2018.0,3.9,729.0,JAX Vineyards Pinot Noir Y3,https://www.vivino.com/US-NY/en/wines/4929886,red,False,United States,Russian River Valley,Calistoga,3.8,50.0,Pinot Noir,14.1,27.99
24,"Spain Clos Lentiscus, Carinyena Perril 2016",32.99,https://www.navywine.com/clos-lentiscus-carinyena-perril-2016.html,"Spain Clos Lentiscus, Carinyena Perril",2016.0,4.0,353.0,Clos Lentiscus Perill Noir Carinyena,https://www.vivino.com/US-NY/en/wines/156483356,red,True,Spain,Penedès,Penedès,4.0,130.0,Red,,35.17
25,"United States Day Wines, 'Vin de Days' Pinot Noir 2021",29.99,https://www.navywine.com/day-wines-vin-de-days-pinot-noir-2021.html,"United States Day Wines, 'Vin de Days' Pinot Noir",2021.0,4.0,717.0,Day Wines Vin de Days Rogue,https://www.vivino.com/US-NY/en/wines/97492897,red,True,United States,Oregon,Oregon,3.9,47.0,Pinot Noir,,30.92
26,"Portugal Casa de Mouraz, Chibu 2019",22.99,https://www.navywine.com/casa-de-mouraz-chibu-2019.html,"Portugal Casa de Mouraz, Chibu",2019.0,4.0,279.0,Casa de Mouraz Chibu,https://www.vivino.com/US-NY/en/wines/163406341,red,True,Portugal,Dão,Dão,4.2,53.0,Dão Red,13.5,23.99
27,"Chile Louis-Antoine Luyt, 'El Mismo' Pais 2021",25.99,https://www.navywine.com/louis-antoine-luyt-el-mismo-pais-2021.html,"Chile Louis-Antoine Luyt, 'El Mismo' Pais",2021.0,3.9,59.0,Louis-Antoine Luyt El Mismo País,https://www.vivino.com/US-NY/en/wines/169372854,red,True,Chile,Maule Valley,Maule Valley,0.0,2.0,,12.5,
